index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,id,processed_tweets,LOC,place
distinctive,-0.5390316843986511,-0.42240577936172485,0.12356916069984436,0.8843284845352173,1.08281672000885,-0.04197603091597557,0.18959859013557434,-1.052201747894287,-0.9589927792549133,-0.6501410603523254,-0.41866448521614075,0.1084296852350235,-0.6084994673728943,-0.22212232649326324,0.8019121885299683,-0.02860638126730919,1.062923789024353,0.14237254858016968,0.1744571179151535,-0.13096117973327637,-0.3471081256866455,-0.2405950129032135,-0.1454634964466095,-0.3401561677455902,-0.8656765222549438,1.4043408632278442,-0.24547280371189117,1.0272822380065918,-0.041081495583057404,-0.46149569749832153,0.588750422000885,0.4126429855823517,0.8547543287277222,-0.8573544025421143,0.8676211833953857,-0.008745958097279072,-0.5042882561683655,-0.523643434047699,0.41128459572792053,-0.2949328124523163,0.7169426679611206,0.3219549059867859,-0.06495750695466995,0.0448707677423954,-0.32912594079971313,-0.6296210289001465,0.9170824289321899,0.08168129622936249,-0.21135172247886658,-0.3901802897453308,1230085398308642816,amk hub has a distinctive smell leh its not bad its just everywhere ,,"North-East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229983525727719424,this costs a bomb but at least im gonna smell bomb ,,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229913867691556866,can ppl please cover their mouths when they yawn i can smell what they had for last nights dinner ,,"North Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229234908633030656,thinking about getting a chanel perfume but why i dont like the smell ,,"East Region, Singapore"
my,-0.3013800084590912,-0.1401599943637848,0.10571999847888947,0.44457000494003296,-0.22762000560760498,-0.1537500023841858,1.3121000528335571,0.15415999293327332,-0.048510000109672546,-0.07797300070524216,-0.6193400025367737,0.3705500066280365,-6.118000030517578,-0.1647299975156784,-0.773389995098114,-0.24381999671459198,0.4237399995326996,-0.19056999683380127,-1.1576000452041626,0.09939800202846527,-0.3822700083255768,0.8777899742126465,0.01657699979841709,0.4884999990463257,-0.5432000160217285,0.08456700295209885,0.12031000107526779,-0.08123700320720673,0.7149199843406677,-0.0019020000472664833,-1.3327000141143799,-0.09614799916744232,-0.2853100001811981,-0.3710800111293793,0.02674200013279915,0.01941799931228161,0.3210900127887726,0.6423199772834778,-0.008264499716460705,0.4996800124645233,-1.2450000047683716,0.022040000185370445,-0.2521600127220154,-0.14952999353408813,0.302839994430542,-0.1516299992799759,0.8082500100135803,-0.26315999031066895,0.6167299747467041,0.42083001136779785,1229172632945213440,i dont know why but this rishi guy doesnt pass my smell test will wait and watch before celebrating have a feeling he will lecture us soon on secularism https twitter comsgurumurthystatus1229124007754072074,,"East Region, Singapore"
ship,-0.6805034279823303,0.38758450746536255,-0.3620481491088867,0.7484759092330933,-0.6833980083465576,-1.1054015159606934,0.7979468703269958,0.09397540241479874,1.3877180814743042,-0.49027547240257263,0.5574408173561096,-0.0882037803530693,-3.3268332481384277,-0.26553818583488464,-0.07625216245651245,0.41682204604148865,-0.0897502675652504,-0.23176424205303192,-0.32332953810691833,-0.20526908338069916,1.1894910335540771,-0.4658285677433014,1.0201828479766846,-0.29068899154663086,-0.3153091371059418,0.8129144906997681,-0.6170103549957275,0.20534639060497284,0.6948527097702026,0.40040865540504456,-0.13754934072494507,-0.22204692661762238,0.32116737961769104,-0.5515726208686829,0.10977086424827576,-0.9371860027313232,0.19276651740074158,-0.3660123944282532,-0.1550256907939911,-0.5682119131088257,-0.6981906890869141,-0.7947348356246948,0.32697319984436035,-0.5024875402450562,-0.31670016050338745,0.4241412580013275,-0.03142340108752251,-0.18484659492969513,0.2348307967185974,0.15766304731369019,1229074847231168513,why does this ship smell like kambing ,,"West Region, Singapore"
smokey,-0.909439742565155,-0.896811842918396,0.20267538726329803,-0.4443740248680115,-0.06475472450256348,-0.13032032549381256,0.5421504974365234,-0.48280563950538635,-0.6943742036819458,0.07518411427736282,-0.7206470966339111,1.1120773553848267,-1.961869239807129,-0.40941503643989563,-0.1660495549440384,-0.6315751671791077,0.36111098527908325,0.23413455486297607,0.3928714394569397,-0.07235057651996613,-0.9685788154602051,-0.05454046651721001,0.5284712910652161,-0.536316454410553,0.1303456723690033,0.5639286637306213,0.6065805554389954,1.1722161769866943,-0.16395898163318634,-0.4652141332626343,0.3281276226043701,0.8206826448440552,-0.18010464310646057,-0.28868430852890015,-1.1784318685531616,0.32474052906036377,-0.029092473909258842,0.3694441616535187,0.46701428294181824,0.6643515825271606,0.23329678177833557,-0.39327654242515564,-0.2046579122543335,0.1677796095609665,-0.43998971581459045,0.4734083116054535,0.8838140368461609,0.0984661877155304,0.09648185223340988,0.4010511338710785,1229020450367213568, west side of singapore has smokey smell for the past few days ,west,"West Region, Singapore"
wood,-0.41418325901031494,-1.642215371131897,0.8402019143104553,-0.148237943649292,0.8176077008247375,-0.8003840446472168,-0.40623393654823303,-0.6431760787963867,0.10481627285480499,-0.28932496905326843,0.46840453147888184,0.8892081379890442,-3.484311819076538,-0.6552302837371826,0.34216853976249695,-0.19288688898086548,0.12066873908042908,0.47147294878959656,0.48095476627349854,0.5620087385177612,-0.9398317933082581,0.013076371513307095,0.3398081660270691,-0.8845502138137817,0.179448202252388,0.36435675621032715,-0.8701328635215759,0.5927338600158691,0.4364747107028961,-0.11186745017766953,0.7780142426490784,0.7695322036743164,0.08092395216226578,-0.06472578644752502,-0.36369359493255615,-0.012728944420814514,0.6901723146438599,0.8865741491317749,1.3950635194778442,0.2632025182247162,-0.32204878330230713,0.8355720639228821,-0.12845800817012787,0.015214571729302406,0.5588882565498352,0.07389137893915176,0.4779154062271118,0.25129473209381104,0.35158687829971313,-0.061330199241638184,1228969984128274432,ahhh the smell of new wood 8 0 x 31 875 team series    pic twitter comfimewmdlfq,,"East Region, Singapore"
lovely,-0.2808648645877838,-0.16021306812763214,0.5161725878715515,0.4690544903278351,-0.038264356553554535,-0.3379250764846802,1.0473291873931885,-0.5199870467185974,-1.1200549602508545,-0.5389634966850281,-1.137922763824463,0.2941398024559021,-4.0663228034973145,-0.2532085180282593,-0.7499651908874512,0.7380155920982361,0.6143261790275574,-0.4303429126739502,-1.1624220609664917,0.37296417355537415,-0.3958115875720978,-0.9110406041145325,-0.6895844340324402,-0.06722279638051987,-0.1025203987956047,1.348456859588623,-0.4372430145740509,0.07111584395170212,1.009864091873169,-0.6927966475486755,-0.3807027339935303,0.3075384497642517,0.595075249671936,0.04102533310651779,0.42722374200820923,0.30565735697746277,0.14163987338542938,0.6503658890724182,0.09623747318983078,0.6529969573020935,-1.2387974262237549,-0.6010969877243042,0.2711593806743622,1.1627750396728516,0.17933817207813263,0.5430775284767151,0.5346029996871948,-0.5349258780479431,-0.16449156403541565,-0.18336455523967743,1228966325214535683,"whenever you feel like cleansing your house

go get 3 stalks of lemon grass make sure its fresh beat the back of stalk and boil some water and let it be for the 2hrs and your whole house will have that lovely smell very relaxing

well thats what i do ",,"North-East Region, Singapore"
wonderful,-0.023096736520528793,0.08263199031352997,0.45915576815605164,0.46423816680908203,0.39105379581451416,0.1341547966003418,1.2757376432418823,-0.5245611071586609,-1.5903844833374023,-0.7489830851554871,-1.1088382005691528,0.2923315465450287,-3.943739175796509,0.26594412326812744,-0.23976585268974304,0.867795467376709,0.49564605951309204,0.29994747042655945,-0.5575810074806213,0.5934954881668091,-0.18237243592739105,-0.4194263815879822,-1.0275355577468872,0.3854975402355194,-0.05031375586986542,1.3503308296203613,-0.39909908175468445,-0.030466513708233833,1.3440372943878174,-0.294826477766037,-0.16695518791675568,-0.23771774768829346,0.14247141778469086,0.07949158549308777,0.5627905130386353,0.48404937982559204,-0.05584949254989624,0.057252559810876846,0.11147080361843109,0.3174830675125122,-0.5369059443473816,-0.5353754162788391,0.6635531187057495,0.4271353483200073,0.024071309715509415,0.6863834261894226,0.5812409520149231,-0.43302470445632935,-0.5535168051719666,0.004092743620276451,1228947758494601217,when you stir fry some garlic and it released a wonderful smell,,"North-East Region, Singapore"
