id,LOC_x,index,processed_tweets,place,loc_pretrained,sentiment_scores
6.05e+17,universal studios,,,,,0.0
6.06e+17,katong,,,,,0.0
6.06e+17,river safari,,,,,0.0
6.09e+17,mavrx coffee apothecary,,,,,0.0
6.11e+17,tanjong beach,,,,,0.0
6.14e+17,yankee candle,,,,,0.0
6.16e+17,kovan 209 market  food centre,,,,,0.0
6.16e+17,lush,,,,,0.0
6.17e+17,marina bay,,,,,0.0
6.19e+17,orchard mrt station,,,,,0.0
6.19e+17,little road,,,,,0.0
6.19e+17,ngee ann polytechnic,,,,,0.0
6.2e+17,lau pa sat,,,,,0.0
6.2e+17,vivocity,,,,,0.0
6.21e+17,orchard central,,,,,0.0
6.21e+17,maison ikkoku,,,,,0.0
6.22e+17,waterbank  dakota,,,,,0.0
6.25e+17,durian culture,,,,,0.0
6.35e+17,starbucks,,,,,0.0
6.35e+17,abercrombie  fitch,,,,,0.0
6.37e+17,nanyang polytechnic,,,,,0.0
6.38e+17,lazarus island,,,,,0.0
6.38e+17,vivocity,,,,,0.0
6.42e+17,orchard road,,,,,0.0
6.44e+17,f1 village zone,,,,,0.0
6.45e+17,too crowded,,,,,0.0
6.46e+17,national stadium,,,,,0.0
6.46e+17,marina coastal expressway mce,,,,,0.0
6.47e+17,jalan tenaga,,,,,0.0
6.48e+17,bedok north,,,,,0.0
6.5e+17,pacamara,,,,,0.0
6.5e+17,queensland,,,,,0.0
6.52e+17,foc restaurant,,,,,0.0
6.53e+17,coney island,,,,,0.0
6.55e+17,strangers reunion,,,,,0.0
6.56e+17,tiong bahru bakery,,,,,0.0
6.57e+17,teppei syokudo,,,,,0.0
6.57e+17,treehouse villas,,,,,0.0
6.59e+17,ang mo kio,,,,,0.0
6.61e+17,marina square,,,,,0.0
6.62e+17,tampines central park,,,,,0.0
6.63e+17,starbucks,,,,,0.0
6.63e+17,riders cafe,,,,,0.0
6.63e+17,coast and company,,,,,0.0
6.63e+17,sims avenue,,,,,0.0
6.63e+17,yoogane,,,,,0.0
6.66e+17,basheer graphic books,,,,,0.0
6.68e+17,shami banana,,,,,0.0
6.7e+17,gaylang rd,,,,,0.0
6.7e+17,brewerkz,,,,,0.0
6.71e+17,river safari,,,,,0.0
6.73e+17,acronis,,,,,0.0
6.74e+17,pasir ris beach,,,,,0.0
6.75e+17,"popeyes,cathay",,,,,0.0
6.76e+17,books kinokuniya,,,,,0.0
6.77e+17,vivocity,,,,,0.0
6.78e+17,japanese garden,,,,,0.0
6.8e+17,sunrise way,,,,,0.0
6.81e+17,astor green condo,,,,,0.0
6.83e+17,artfriend,,,,,0.0
6.83e+17,singapore bonatic garden,,,,,0.0
6.89e+17,vertex ubi,,,,,0.0
6.89e+17,golden mile,,,,,0.0
6.89e+17,fort canning,,,,,0.0
6.9e+17,katong laksa,,,,,0.0
6.9e+17,mcdonalds,,,,,0.0
6.9e+17,ite college east,,,,,0.0
6.91e+17,strictly pancakes,,,,,0.0
6.94e+17,fajar hills,,,,,0.0
