id,LOC
7.20E+17,daessiksin korean
7.21E+17,pasir ris park
7.24E+17,ifs white collar boxing
7.25E+17,k garden karaoke
7.27E+17,sim global education
7.28E+17,mrs maxwell
7.29E+17,alan seafood
7.30E+17,holland village mrt station
7.32E+17,victoria concert hall
7.33E+17,jurong east
7.43E+17,hello kitty cafe
7.44E+17,whisk cafe
7.45E+17,raffles city
7.45E+17,sentosa
7.52E+17,city beach resort
7.54E+17,kranji secondary school
7.56E+17,ion orchard
7.58E+17,hotel boss
7.60E+17,bijin nabe
7.65E+17,extra virgin pizza
7.69E+17,jalan bahar
7.71E+17,leedon heights
7.77E+17,river safari
7.85E+17,exclaims banana phobic sihan
7.85E+17,rochor centre
7.86E+17,kwan im thong hood cho temple
7.90E+17,loyang valley
7.92E+17,komalas villas
7.92E+17,woodlands
7.93E+17,little india
7.93E+17,bodyworks hand wash this morning
7.93E+17,bendemeer market  food centre
7.94E+17,tanjong rhu prawn noodles
7.94E+17,woodlands checkpoint
7.96E+17,little india
7.96E+17,pulau tekong
7.97E+17,chir chir
8.00E+17,dough pic
8.02E+17,westgate mall
8.04E+17,universal studios
8.05E+17,woodlands checkpoint
8.07E+17,new lippy collection
8.08E+17,singapore art museum
8.09E+17,parkview apartments
8.14E+17,little india
8.15E+17,happy long
8.17E+17,Esther & Michael's Crib
8.19E+17,singapore zoo
8.20E+17,big street
8.23E+17,katong laksa
8.26E+17,tippling club
8.29E+17,grease monkey barber garage
8.33E+17,dona manis cake shop
8.35E+17,ngee ann polytechnic
8.40E+17,rudyard kipling
8.48E+17,marina bay sands
8.55E+17,central perk
8.56E+17,tampines true fitness
8.56E+17,man man japanese unagi restaurant
8.58E+17,"bentenwebe heavier,php350"
8.67E+17,little india
8.68E+17,hyang to gol
8.76E+17,putian flavor
8.76E+17,sembawang army
8.84E+17,blk 38 upper boon keng road
8.84E+17,palawan beach
8.88E+17,wanton
8.90E+17,labrador nature  coastal walk berlayer creek
8.90E+17,jewel coffee
9.06E+17,flower dome
9.27E+17,pasir ris
9.32E+17,pasir ris
9.32E+17,gillman barracks
9.35E+17,orchard road
9.51E+17,beast and butterflies
9.56E+17,parklane shopping mall
9.71E+17,wakey wakey
9.77E+17,foc sentosa
9.80E+17,marina bay sands
9.82E+17,pasir ris
9.85E+17,man man unagi
9.89E+17,parklane shopping mall
9.97E+17,jurong point
9.99E+17,singapore polytechnic
1.01E+18,texas chicken
1.02E+18,marina bay sands
1.02E+18,stefani parfumerie
1.02E+18,stefani parfumerie
1.03E+18,energyone jurong
1.03E+18,mount faber park
1.04E+18,kampong chicken eating house
1.04E+18,starbucks
1.04E+18,wardah books
1.04E+18,fish pool
1.04E+18,jurong singapore
1.05E+18,mount faber park
1.05E+18,emerald hill
1.06E+18,red and pink sweet and cute theme
1.07E+18,nee soon medical centre
1.07E+18,henderson waves
1.07E+18,young living
1.07E+18,thomson medical
1.09E+18,uluwatu cliff temple
1.10E+18,flower dome
1.10E+18,brighton accessories house
1.10E+18,beejies house
1.11E+18,grand prix
1.11E+18,souffles
1.11E+18,baker  cook
1.12E+18,starbucks
1.12E+18,tiong bahru station
1.12E+18,clarke quay
1.12E+18,tuas
1.12E+18,jurong east
1.13E+18,como dempsey
1.13E+18,beach road prawn noodle
1.13E+18,siloso beach resort sentosa
1.13E+18,pasir ris
1.13E+18,bishan mrt
1.15E+18,skinny cakes
1.15E+18,city square mall
1.15E+18,lim chu kang
1.16E+18,korean fusion bbq
1.16E+18,sumang lrt station
1.16E+18,little india
1.17E+18,little india
1.17E+18,woodlands checkpoint
1.17E+18,reflections at bukit chandu
1.17E+18,brighton accessories house
1.17E+18,jurong west boon lay secondary school
1.17E+18,bishan mrt
1.19E+18,reflections at bukit chandu
1.19E+18,sentosa island
1.20E+18,pulau ubin
1.21E+18,little india
1.22E+18,jurong east
1.22E+18,first centre
1.23E+18,tau2 bila
1.23E+18,bau ketiak
